Acronym,Spelled Out
ACAT,Acquisition Category
ACIS,Automated Cost Information System
ACO,Administrative Contracting Officer
ADM,Acquisition Decision Memorandum
ADP,Automated Data Processing
ADS,Automated Data System
AFIT,Air Force Institute of Technology
AFLCMC,Air Force Life Cycle Management Center
AFR,Air Force Regulation
AFRL,Air Force Research Laboratory
AFROC,Air Force Requirements Oversight Council
AFSC,Air Force Specialty Code
AI,Artificial Intelligence
AI / ML,Artificial Intelligence / Machine Learning
AIS,Automated Information System
AIT,Automated Information Technology
ALC,Air Logistics Center
AMRAAM,Advanced Medium-Range Air-to-Air Missile
AO,Authorizing Official
AoA,Analysis of Alternatives
APML,Acquisition Program Master List
APT,Advanced Persistent Threat
ASN,Assistant Secretary of the Navy
ASR,Alternative Systems Review
AT&L,Acquisition Technology and Logistics
ATC,Authorization to Connect
ATD,Advanced Technology Demonstration
ATE,Automatic Test Equipment
ATO,Authority to Operate
ATP,Acquisition and Technology Programs
BCA,Business Case Analysis
BIT,Built-In Test
BITE,Built-In Test Equipment
BMA,Business Mission Area
BMD,Ballistic Missile Defense
BOA,Broad Agency Announcement
BOD,Basis of Design
BOM,Bill of Materials
C2,Command and Control
C3,Command Control and Communications
C3I,Command Control Communications and Intelligence
C4,Command Control Communications and Computers
C4I,Command Control Communications Computers and Intelligence
C4ISR,Command Control Communications Computers Intelligence Surveillance and Reconnaissance
CAC,Common Access Card
CADE,Commercial and Government Entity
CAE,Component Acquisition Executive
CAGE,Commercial and Government Entity
CAIG,Cost Analysis Improvement Group
CALS,Commerce At Light Speed
CAP,Corrective Action Plan
CAS,Cost Accounting Standards
CBD,Commerce Business Daily
CBRN,Chemical Biological Radiological and Nuclear
CBRNE,Chemical Biological Radiological Nuclear and Explosive
CCB,Configuration Control Board
CCDR,Contractor Cost Data Reporting
CDD,Capability Development Document
CDR,Critical Design Review
CDRL,Contract Data Requirements List
CFR,Code of Federal Regulations
CI,Configuration Item
CIO,Chief Information Officer
CISO,Chief Information Security Officer
CJCS,Chairman of the Joint Chiefs of Staff
CM,Configuration Management
CMP,Configuration Management Plan
CNAP,Cloud Native Access Point
CNO,Chief of Naval Operations
COA,Course of Action
COCO,Contractor-Owned Contractor-Operated
COE,Common Operating Environment
COFF,Cut-Off Frequency
